id;basket_id;total_price;txns;vat_analysis
1;portals neural lavender;56321;connect;Ergonomic plum
2;National Landing;16717;Public-key;Operations
3;RSS didactic multimedia;54909;Handmade Granite Sausages panel;supply-chains Handcrafted
4;Chicken Path;50329;grid-enabled;Island Som Streamlined
5;Auto Loan Account Principal;86738;virtual;Ergonomic Concrete Sausages Stand-alone
6;Small Frozen Tuna fuchsia;76260;next-generation matrix Investor;envisioneer
7;Metrics;45992;Customer;overriding
8;transmitting Global virtual;12616;frame;Total
9;Credit Card Account reboot Buckinghamshire;63556;Bedfordshire;back up
10;Wooden Kansas Fields;81116;withdrawal;seize
