id;basket_id;can_edit;prodict_id;quantity;refundable;removeable;total_price;transaction_id;unit_price;vat_code;vat_element;basket_id
1;Ergonomic Steel Salad;false;19426;12494;false;true;49449;Chicken Checking Account California;89981;overriding;Specialist;1
2;Small Lempira;false;55959;36420;false;true;93858;sticky Toys;45568;Intelligent;infomediaries;2
3;emulation Bedfordshire vertical;true;9069;99446;false;false;79946;Hungary Turkish Lira;81853;Cotton Highway;collaborative Cambridgeshire;3
4;transmitting radical;false;57269;57309;false;false;1884;Corporate;88690;Rustic Metal Car;Director Dynamic 1080p;4
5;maximize;false;16331;27031;true;true;56644;programming Utah indexing;84053;Regional withdrawal European Monetary Unit (E.M.U.-6);Grocery;5
6;dedicated Bacon strategize;false;11637;99342;false;false;25343;paradigms;91769;EXE;website;6
7;evolve vertical;false;87484;68115;true;true;34437;Tasty compress;74165;Small Frozen Shirt Handcrafted Steel Bike SSL;Incredible Cotton Chicken Delaware;7
8;Fantastic Metal Pants;true;27269;17735;true;true;4641;back-end Buckinghamshire;25029;Cheese Outdoors Refined;Avon;8
9;Principal;false;11685;26098;true;true;48198;orange XML Implementation;68382;Frozen distributed;Grocery Dynamic Gorgeous Steel Sausages;9
10;Regional Bedfordshire engineer;false;4148;49444;true;false;43421;Human Polarised generate;59341;Unbranded Plastic Shirt cross-platform;portals;10
