id;branch_address;fad;name
1;protocol neural-net;Savings Account Guinea-Bissau;Credit Card Account Dale
2;Programmable;virtual Principal Gorgeous Steel Shirt;extranet
3;Movies Shoes;Communications compressing Representative;HTTP
4;deposit International systems;Colorado;parse copying copying
5;turquoise olive payment;salmon;help-desk technologies
6;Officer deposit Sausages;Synchronised Tactics;indigo
7;Money Market Account;Highway azure Maine;leading edge Avon
8;Chief Sausages;innovate;fault-tolerant Argentina Incredible Frozen Soap
9;methodologies disintermediate;deliverables e-markets;intermediate Awesome Soft Towels
10;Automotive New Zealand Dollar invoice;Tools;input Nepalese Rupee Assistant
