id;client_account_name;client_id;iin;item_id;name;svc_start;type
1;Awesome Wooden Towels;54221;35960;89428;Ergonomic maximize;2039;Associate Steel 24/365
2;Savings Account Automotive;17387;1062;61379;Secured;19104;Supervisor quantify support
3;applications standardization;29886;70651;9467;Handmade Cotton Hat;71464;payment
4;Mobility;10897;78592;34890;Investment Account GB Ameliorated;57885;Directives Botswana parsing
5;aggregate;66368;81151;9506;Forward;3274;deposit Books
6;Towels microchip magenta;88383;2081;89039;grey Bike;88915;Credit Card Account
7;Texas;24851;49672;4445;Group Principal;45946;West Virginia Fish next-generation
8;Bolivar Fuerte;26448;4858;19062;deposit;49075;virtual real-time
9;Human;6861;11035;13178;Data;71414;deposit override
10;RSS THX;81140;47947;4737;Frozen encryption Gloves;25288;pink
