id;defaultz;editable;label;mandatory;maxs;mins;multiple;name;patternz;type
1;Regional;false;Sausages;false;Accountability RAM;Soap;46125;matrix Incredible;fault-tolerant;Intranet
2;tan;true;morph Computer benchmark;false;Sports Mouse;Trail;93901;migration Granite;quantify;Synergistic
3;Investment Account plug-and-play;true;Place;true;Senior Handcrafted Metal Salad;transform frictionless;6324;Product rich Tasty;monitoring;Books Configuration reinvent
4;Robust Florida Incredible Concrete Pants;false;sensor hack web-enabled;true;Senior Small Cotton Soap;Pants withdrawal;72502;revolutionize Vision-oriented International;programming Orchestrator;monitoring solution-oriented Minnesota
5;cross-platform navigating;true;synthesize Knolls functionalities;true;SSL blue;Borders Cambridgeshire;53196;Handmade Practical;access;asymmetric
6;Corporate payment;true;Tajikistan Plastic Chair;false;magenta Granite;cross-platform;63497;Dynamic;hack artificial intelligence;mobile Minnesota Turkmenistan
7;Unbranded;true;Decentralized;false;Industrial tan Western Sahara;array iterate deposit;33242;USB drive;Borders deposit enhance;Granite synergistic
8;convergence Fantastic Frozen Gloves Gloves;true;RSS PNG;true;circuit;Trace Fresh;98267;Kentucky Unbranded Wooden Car haptic;Licensed Rubber Soap Awesome mint green;wireless
9;partnerships Configuration Fantastic;true;maroon Unbranded Wooden Tuna grey;false;Handmade bypass;Senior hardware;88628;Salad Cambridgeshire grey;Unbranded;Tasty Frozen Gloves Fantastic product
10;Granite Grocery Fantastic Frozen Pants;false;synthesizing Alabama New Jersey;false;violet structure;Books Personal Loan Account;3374;Mozambique;Arkansas;Beauty systems Barbados
